mode,seed,steps,dimension,noise_magnitude,escaped,escape_accepted_step,maximum_escape_coordinate,final_escape_coordinate,energy_initial,energy_final,energy_drop,accepted_steps,rejected_steps
none,0,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,1,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,2,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,3,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,4,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,5,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,6,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,7,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,8,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,9,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,10,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,11,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,12,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,13,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,14,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,15,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,16,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,17,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,18,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,19,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,20,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,21,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,22,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,23,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,24,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,25,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,26,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,27,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,28,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,29,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,30,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,31,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,32,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
none,33,40,8,0.0,0,,0.2,0.2,0.1,0.1,0.0,40,0
