scenario,mode,seed,steps,topology,energy_family,size,coupling_count,initial_curvature_min,initial_curvature_max,initial_curvature_ratio,noise_magnitude,noise_cost_samples,accepted_steps,rejected_steps,acceptance_rate,delta_f90_steps,energy_initial,energy_final,energy_drop,noise_curvature_cost,noise_curvature_cost_draws,wall_time_sec
quadratic_chain,isotropic,0,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,33,47,0.4125,7,3.0674908302121717,0.10966490197046169,2.95782592824171,0.0011700084184371024,0.0010258963532478681;0.0016725947908206207;0.00058469653499674287;0.00065112062852800648;0.0013383463530591043;0.0011002625484867255;0.0009759079910069457;0.0015480555866407967;0.0011721910478350137;0.0012991180663826903;0.0012573477073366611;0.0011817562089635344;0.0011256801642766214;0.0015693463984790394;0.001188588018905428;0.0006113238637684438;0.0009521756271124815;0.0015925579043737279;0.0011456675943699252;0.00085364195276828466;0.00070937389926427059;0.00159130961496803;0.001250791593723844;0.0016228193451565411;0.0009903639600810088;0.0013955178327324292;0.0010027079897322721;0.0010451204081379597;0.0014823196693738835;0.0010742644309737395;0.0012633974023925102;0.0011660079020921307,0.050540100084617734
quadratic_chain,isotropic,1,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,30,50,0.375,7,1.6219922052676505,0.12123401311026706,1.5007581921573834,0.0012334431447149502,0.0017885599777000499;0.0013618737266146539;0.0011327755025517757;0.00068207535599367972;0.0015371238324977667;0.00075661340575267013;0.00073281950952431261;0.00080029948530557272;0.00096314556864603943;0.0017639753103079472;0.0016605863689553965;0.0012871945960560287;0.0018210075070224318;0.0014764160514304718;0.0010017419714298242;0.00090640945621356113;0.0016657479793124649;0.0010784016893305359;0.00088706403022464312;0.0009088400536744727;0.0020826580838718472;0.0017956996414045594;0.0010766526295401505;0.001086489235661922;0.00074752724494608457;0.00078830226647894487;0.0014621173385399664;0.0010862121100504054;0.0013560896960211637;0.001050775922903737;0.001395000029430813;0.0013299850534845136,0.05325310002081096
quadratic_chain,isotropic,2,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,31,49,0.3875,7,1.7507016040447765,0.08160234810107739,1.669099255943699,0.001231243824234016,0.0013531119020760356;0.0015613323092705615;0.00086211581813262414;0.0012831415258679512;0.0011958323624136392;0.0023583538666022822;0.00060667245711935511;0.001148653297757147;0.00088889489308787741;0.0014667850666134068;0.00069895667347854879;0.0007371654467293495;0.0011839853698407479;0.0016038561550189246;0.0012674479905140797;0.00076107944017452705;0.0011736697732379329;0.00083021767412790016;0.00092189713762617866;0.001241947051422759;0.0014000066852219053;0.0013154617255943138;0.0015539878722309075;0.0016526857262177798;0.0015480668127192013;0.0012864415567495468;0.0010090796155591145;0.0009937113369041157;0.0018119758102186445;0.001311444297700088;0.0012508295066531901;0.001120995218607879,0.04719319986179471
quadratic_chain,isotropic,3,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,30,50,0.375,6,2.6131210044088675,0.0866479139215886,2.5264730904872787,0.0011919133638109373,0.001314523700182172;0.0017333145116589727;0.0011582704969251053;0.0015085458959042549;0.00084569293901793979;0.0011998497906955336;0.00095595081354164823;0.00089291997784788485;0.00095540197110752169;0.0010924870738459496;0.0014187073124681177;0.00079452760978915423;0.0012605525409492536;0.0010496664660714216;0.0017624584691716167;0.0014596916314639412;0.0015343541527036869;0.001234593569787686;0.0015525191884457703;0.001367733588969799;0.00099304726704546359;0.0009367173654427686;0.00096079940180001397;0.00076407259404620152;0.00086526264337889215;0.0014528117116501208;0.0012504488106678383;0.0010582696910485367;0.00096677947591336912;0.0016092889033058342;0.0015099748761218082;0.00068199320098171823,0.04581729997880757
quadratic_chain,isotropic,4,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,39,41,0.4875,6,1.9179692481811523,0.12659584064257307,1.7913734075385792,0.0011670718239889613,0.00082338255211893304;0.0012827324170132351;0.00081284500908430175;0.00071457396081765605;0.0011458229175434506;0.0012888993930689435;0.00096122827159554408;0.0012301115118512828;0.00088444984762516292;0.0015066680017942408;0.0012159643040789499;0.0012606275960938467;0.0012019340925582126;0.0010625333894670247;0.00084466798354341729;0.00073240252525772398;0.0011816945259926664;0.00071606160213150919;0.001307386205354097;0.0015282413625384015;0.0018001106659014656;0.0009244016611683598;0.0012337074434302295;0.00097772236758012702;0.0015750578840138202;0.0010783269695403273;0.001203068651615187;0.0010538518860877847;0.0019786800276930055;0.0006947958067158442;0.0011395814920631435;0.0019847660423088645,0.0455159000121057
quadratic_chain,isotropic,5,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,37,43,0.4625,6,1.9926009239961362,0.1187468813653955,1.8738540426307406,0.0012551361745627926,0.0011112099982459756;0.00089022736314280277;0.0016786995511757939;0.0011443901689243408;0.0015625391777508127;0.0020778231529053831;0.001137909056018533;0.0019162425234659425;0.00093354282620326681;0.00079008308551608468;0.00097972722461762193;0.0012464384367282763;0.0016654809454282363;0.00083636577985470419;0.0011128510555355013;0.0009057413548537608;0.0014794131427161268;0.0015342488038768056;0.001505296755278085;0.0013643639363142416;0.0014622166237762502;0.0007562250204285045;0.0014375946556798073;0.00068557808202729289;0.0017037210113450608;0.00073928793326047773;0.0012756377599417415;0.00076256082515336211;0.0013865975290109939;0.0013983411274445226;0.0013494688196936369;0.001334533859695424,0.04896320006810129
quadratic_chain,isotropic,6,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,33,47,0.4125,7,1.2880511979458857,0.10871876522108463,1.1793324327248011,0.0013186166067322876,0.0014471206678209516;0.0011840157726997274;0.0023392298952215921;0.0015348552637802944;0.0012989078508254342;0.0010561130311775016;0.00093738799067096836;0.0011158683547840035;0.00094588156970411459;0.001095818601960116;0.0010169979268580989;0.0013411387885404007;0.0016820724894012679;0.0008781676311813406;0.0013961954538829432;0.0009864621010847981;0.0011677050320970219;0.0013484561506067164;0.00080948548788991107;0.0014475348547423031;0.0011329650278615955;0.001354338470045093;0.0023560033202102513;0.0019841059155916675;0.0021189382880310277;0.0011490310891644278;0.001333919351082298;0.0011723757758998678;0.00077903283216281427;0.00096334666598159356;0.0010388301273162842;0.0017834296371567759,0.05300029995851219
quadratic_chain,isotropic,7,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,28,52,0.35,7,1.9038623498535623,0.11150130262064012,1.7923610472329221,0.0012302691946987744,0.0014234383333602935;0.0015526484971978062;0.00070503421659062683;0.00096823737350526583;0.0011097956292323613;0.0010159037460519332;0.0015233242433445619;0.001509266143282345;0.0014342613136418183;0.0012003377085021843;0.0011020155716233257;0.0016596008543358865;0.0012015005901101113;0.0010826334901839465;0.00087229859224482737;0.0014030057601393932;0.0016913671439761416;0.00099695456475971879;0.00092960143328419884;0.0019177595855077584;0.0014000000931425119;0.00084495829697222983;0.0011137367389275064;0.001000652949817177;0.0017382259491864076;0.0012424283814898563;0.0010999709187635865;0.0014198602881261872;0.00089361936382478455;0.0008204512922592766;0.0012694263322687088;0.0012262988347080471,0.05020040017552674
quadratic_chain,isotropic,8,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,34,46,0.425,7,1.61359035277618,0.054058810660325717,1.5595315421158542,0.0012671019430650601,0.0012718595334056866;0.0013249776322743357;0.0022279526066669472;0.0015020511587352189;0.0012113519092481889;0.0012383969127077253;0.0013783877890148615;0.0011115641857044353;0.0010626189641605261;0.001546833947608166;0.00098447072557599847;0.0010511798985166562;0.0010819822826769825;0.0016718851977703796;0.0010990641260835957;0.00080395019185812531;0.0016196229189944056;0.0018004440584986911;0.0016662793895063002;0.0008651507863655705;0.001297229337900256;0.0014045328394776549;0.0012944716620589859;0.0010360542395057323;0.0011889367172886196;0.001160997944104813;0.00078450171502435901;0.0006721601972010594;0.0011645766806973039;0.0016401958828801773;0.0011396263612841353;0.0012439543852860353,0.05006949999369681
quadratic_chain,isotropic,9,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,27,53,0.3375,7,4.187665556403554,0.09198695581585042,4.0956786005877035,0.0012153005167381164,0.00075291561622845926;0.00097476242135415816;0.00095735628376766998;0.0015232657434759655;0.0014035773715139297;0.0019455589064910175;0.0015820267248025;0.00081475624718304403;0.0011516410933296896;0.0012697084511378285;0.0010500317621560385;0.0015967933258206669;0.0011526088916416384;0.00093852319195372117;0.00085334866972638088;0.0011707341707742486;0.0011384819003638499;0.0015540771218959342;0.0014098789328588824;0.00074360780411988989;0.0011372263111076232;0.00089707652651014192;0.0015678800268696274;0.0015522423423373227;0.00095930661645924904;0.0010167591595226652;0.0016512858694086115;0.0014413691994005296;0.0016382360176065804;0.00075320903515356215;0.0011508429357020916;0.001140527864946204,0.0561281000263989
