scenario,mode,seed,steps,topology,energy_family,size,coupling_count,initial_curvature_min,initial_curvature_max,initial_curvature_ratio,noise_magnitude,noise_cost_samples,accepted_steps,rejected_steps,acceptance_rate,delta_f90_steps,energy_initial,energy_final,energy_drop,noise_curvature_cost,noise_curvature_cost_draws,wall_time_sec
quadratic_chain,isotropic,0,25,chain,quadratic,12,11,0.25,8.0,32.0,0.02,4,22,3,0.88,7,3.0674908302121717,0.11065614211492217,2.9568346880972496,0.0009835770768983096,0.0010258963532478681;0.0016725947908206207;0.00058469653499674287;0.00065112062852800648,0.01765649998560548
quadratic_chain,isotropic,1,25,chain,quadratic,12,11,0.25,8.0,32.0,0.02,4,24,1,0.96,7,1.6219922052676505,0.12173405204364936,1.5002581532240011,0.00124132114071504,0.0017885599777000499;0.0013618737266146539;0.0011327755025517757;0.00068207535599367972,0.01655700011178851
quadratic_chain,isotropic,2,25,chain,quadratic,12,11,0.25,8.0,32.0,0.02,4,21,4,0.84,7,1.7507016040447765,0.08248480086043954,1.668216803184337,0.0012649253888367931,0.0013531119020760356;0.0015613323092705615;0.00086211581813262414;0.0012831415258679512,0.01603089994750917
quadratic_chain,orthogonal,0,25,chain,quadratic,12,11,0.25,8.0,32.0,0.02,4,25,0,1.0,7,3.0674908302121717,0.11073469830764657,2.956756131904525,0.0008139036228507302,0.00071981033221302649;0.0012983279694951612;0.00057721901831498008;0.00066025717137975319,0.016760499915108085
quadratic_chain,orthogonal,1,25,chain,quadratic,12,11,0.25,8.0,32.0,0.02,4,25,0,1.0,7,1.6219922052676505,0.1220470719526797,1.499945133314971,0.000890851795187219,0.00085932508437669267;0.00084792286422894836;0.0011590650061616525;0.00069709422598158315,0.01681940001435578
quadratic_chain,orthogonal,2,25,chain,quadratic,12,11,0.25,8.0,32.0,0.02,4,25,0,1.0,7,1.7507016040447765,0.08244372012221907,1.6682578839225575,0.001238567789650851,0.001327561835146647;0.0015084623289857995;0.00086956010786659555;0.0012486868866043621,0.01748739997856319
quadratic_chain,precision_orthogonal,0,25,chain,quadratic,12,11,0.25,8.0,32.0,0.02,4,24,1,0.96,7,3.0674908302121717,0.11028863426037191,2.9572021959518,0.0004678716981805067,0.00056909095377564751;0.00055672150116784576;0.00046280130207555493;0.00028287303570297855,0.02033789991401136
quadratic_chain,precision_orthogonal,1,25,chain,quadratic,12,11,0.25,8.0,32.0,0.02,4,25,0,1.0,7,1.6219922052676505,0.12167389674717394,1.5003183085204765,0.0005368717468486235,0.00038093578829701056;0.00040701118991851118;0.00076739664301970036;0.00059214336615927179,0.018282099859789014
quadratic_chain,precision_orthogonal,2,25,chain,quadratic,12,11,0.25,8.0,32.0,0.02,4,25,0,1.0,7,1.7507016040447765,0.08200782611271429,1.668693777932062,0.0005832930054551395,0.00080764317219205156;0.00058340684206911189;0.00043369660769656442;0.0005084253998628302,0.0187778000254184
mixed_gate_chain,isotropic,0,25,chain,quadratic_plus_linear_gate,12,17,0.25,8.0,32.0,0.02,4,22,3,0.88,7,2.9985129377772943,0.04468180435799244,2.953831133419302,0.0009835770768983096,0.0010258963532478681;0.0016725947908206207;0.00058469653499674287;0.00065112062852800648,0.022637000074610114
mixed_gate_chain,isotropic,1,25,chain,quadratic_plus_linear_gate,12,17,0.25,8.0,32.0,0.02,4,24,1,0.96,7,1.5778726226521356,0.05459155562550956,1.523281067026626,0.00124132114071504,0.0017885599777000499;0.0013618737266146539;0.0011327755025517757;0.00068207535599367972,0.022350799990817904
mixed_gate_chain,isotropic,2,25,chain,quadratic_plus_linear_gate,12,17,0.25,8.0,32.0,0.02,4,21,4,0.84,7,1.6816686775503578,0.02835793815190312,1.6533107393984547,0.0012649253888367931,0.0013531119020760356;0.0015613323092705615;0.00086211581813262414;0.0012831415258679512,0.022100100060924888
mixed_gate_chain,orthogonal,0,25,chain,quadratic_plus_linear_gate,12,17,0.25,8.0,32.0,0.02,4,25,0,1.0,7,2.9985129377772943,0.04477688862920795,2.953736049148086,0.0008125428083198685,0.00071805484672935393;0.0012957682279572122;0.00057698963705899245;0.00065935852153391542,0.023029000032693148
mixed_gate_chain,orthogonal,1,25,chain,quadratic_plus_linear_gate,12,17,0.25,8.0,32.0,0.02,4,25,0,1.0,7,1.5778726226521356,0.05491463228703372,1.5229579903651018,0.0008922682258873542,0.00086104840301540393;0.00084863579487242117;0.0011607870045606229;0.00069860170110096849,0.024871600093320012
mixed_gate_chain,orthogonal,2,25,chain,quadratic_plus_linear_gate,12,17,0.25,8.0,32.0,0.02,4,25,0,1.0,7,1.6816686775503578,0.028338388849032607,1.6533302887013253,0.0012394224844199308,0.0013261799977766289;0.0015103825007127516;0.00086994639221382394;0.0012511810469765185,0.0223170998506248
mixed_gate_chain,precision_orthogonal,0,25,chain,quadratic_plus_linear_gate,12,17,0.25,8.0,32.0,0.02,4,24,1,0.96,7,2.9985129377772943,0.044329724837963616,2.9541832129393306,0.0004660993333884914,0.00056637562674769924;0.00055393462135397604;0.00046215565454957102;0.00028193143090271929,0.022939999820664525
mixed_gate_chain,precision_orthogonal,1,25,chain,quadratic_plus_linear_gate,12,17,0.25,8.0,32.0,0.02,4,25,0,1.0,7,1.5778726226521356,0.05456011856908641,1.523312504083049,0.0005362736268860058,0.00038110402870638682;0.00040604651223307407;0.00076436491344959267;0.00059357905315496936,0.025919700041413307
mixed_gate_chain,precision_orthogonal,2,25,chain,quadratic_plus_linear_gate,12,17,0.25,8.0,32.0,0.02,4,25,0,1.0,7,1.6816686775503578,0.02790636900739446,1.6537623085429634,0.0005840982592552165,0.00080861997630176925;0.00058456091629422076;0.00043404739792181541;0.00050916474650306053,0.027168799890205264
quadratic_star,isotropic,0,25,star,quadratic,12,11,0.2,12.0,60.0,0.02,4,23,2,0.92,8,3.4544280774494487,0.06965764473473139,3.3847704327147174,0.0014894846158273287,0.0023601725041964392;0.00092797268940232245;0.0015312836655627879;0.001138509604147765,0.019687999971210957
quadratic_star,isotropic,1,25,star,quadratic,12,11,0.2,12.0,60.0,0.02,4,24,1,0.96,9,3.166793275111883,0.04645059980746642,3.1203426753044163,0.0009457687773421877,0.0016294415790984434;0.00078005601554387402;0.00095936242270107397;0.00041421509202535999,0.015994299901649356
quadratic_star,isotropic,2,25,star,quadratic,12,11,0.2,12.0,60.0,0.02,4,23,2,0.92,8,2.099731542818279,0.03830734993394433,2.061424192884335,0.0012311924871397167,0.00041149014954946394;0.0012405484575008195;0.0019185413674323193;0.0013541899740762634,0.017502699978649616
quadratic_star,orthogonal,0,25,star,quadratic,12,11,0.2,12.0,60.0,0.02,4,25,0,1.0,9,3.4544280774494487,0.07017612674381152,3.3842519507056372,0.0014220703526423566,0.0023328672086690544;0.0008190417330077997;0.0014576613837442188;0.0010787110851483532,0.01718079997226596
quadratic_star,orthogonal,1,25,star,quadratic,12,11,0.2,12.0,60.0,0.02,4,25,0,1.0,9,3.166793275111883,0.045508009572792024,3.1212852655390906,0.0009029814828070934,0.0016211153483396438;0.00076703578662019975;0.00079374784531085617;0.00043002695095767406,0.0173808999825269
quadratic_star,orthogonal,2,25,star,quadratic,12,11,0.2,12.0,60.0,0.02,4,25,0,1.0,9,2.099731542818279,0.03872580011189204,2.061005742706387,0.001146178032939389,0.00042180841491528949;0.0011150797691169519;0.0015894596061647407;0.0014583643415605738,0.02086709998548031
quadratic_star,precision_orthogonal,0,25,star,quadratic,12,11,0.2,12.0,60.0,0.02,4,25,0,1.0,9,3.4544280774494487,0.0690702617889394,3.3853578156605093,0.0003413889675507597,0.00042398662172602098;0.0002275636529709271;0.00044973813821076481;0.0002642674572953259,0.017518999986350536
quadratic_star,precision_orthogonal,1,25,star,quadratic,12,11,0.2,12.0,60.0,0.02,4,25,0,1.0,9,3.166793275111883,0.044395038007021534,3.122398237104861,0.00034631582993983195,0.00038497014964737294;0.00030833126343239814;0.000381223637763573;0.00031073826891598385,0.02278849994763732
quadratic_star,precision_orthogonal,2,25,star,quadratic,12,11,0.2,12.0,60.0,0.02,4,25,0,1.0,9,2.099731542818279,0.037675973337252804,2.0620555694810263,0.00033536049834483853,0.00021715915073655938;0.00049410388828388923;0.00023814595568350365;0.00039203299867540198,0.020861800061538815
quadratic_dense,isotropic,0,25,dense_random,quadratic,6,10,0.25,8.0,32.0,0.02,4,15,10,0.6,7,0.48099458185660326,0.07009311937943578,0.41090146247716747,0.001341713527667074,0.001442059333396449;0.0012263259206098036;0.0019056031846809915;0.00079286567198105155,0.012120199855417013
quadratic_dense,isotropic,1,25,dense_random,quadratic,6,12,0.25,8.0,32.0,0.02,4,21,4,0.84,7,0.6348022258430102,0.06528018958484649,0.5695220362581637,0.0015911107517070642,0.00063015816021232921;0.0018014293137246292;0.0028153263717769234;0.0011175291611143754,0.01297900010831654
quadratic_dense,isotropic,2,25,dense_random,quadratic,6,10,0.25,8.0,32.0,0.02,4,17,8,0.68,6,0.3897956370212423,0.04468001909340799,0.3451156179278343,0.0012878044451061009,0.00041666260555562007;0.00083573535260591364;0.0017570465173885384;0.0021417733048743311,0.010961699998006225
quadratic_dense,orthogonal,0,25,dense_random,quadratic,6,10,0.25,8.0,32.0,0.02,4,20,5,0.8,7,0.48099458185660326,0.07071300782016669,0.41028157403643656,0.00138395096466907,0.0013358801250555842;0.0013701831625077378;0.0019977857009730758;0.00083195487013988211,0.012496799929067492
quadratic_dense,orthogonal,1,25,dense_random,quadratic,6,12,0.25,8.0,32.0,0.02,4,24,1,0.96,7,0.6348022258430102,0.06581556183661928,0.5689866640063909,0.0015198535598470383,0.00055340558288384252;0.0017632575506411792;0.0028138590482309931;0.00094889205763213844,0.013002400053665042
quadratic_dense,orthogonal,2,25,dense_random,quadratic,6,10,0.25,8.0,32.0,0.02,4,23,2,0.92,7,0.3897956370212423,0.04528128656578963,0.3445143504554527,0.0008995048376223261,0.00046511418412264967;0.00083548147957335727;0.00063918859881245845;0.0016582350879808389,0.015259800013154745
quadratic_dense,precision_orthogonal,0,25,dense_random,quadratic,6,10,0.25,8.0,32.0,0.02,4,21,4,0.84,6,0.48099458185660326,0.0702118845551674,0.41078269730143585,0.0005777433553169758,0.00046509412577688553;0.00049863662592673796;0.00089599235120214145;0.00045125031836213856,0.01446909992955625
