scenario,baseline_mode,comparison_mode,trials,noise_cost_samples,draws_per_trial,bootstrap_samples,bootstrap_seed,bootstrap_method,noise_cost_metric,noise_cost_field,baseline_cost_mean,comparison_cost_mean,absolute_reduction_mean,absolute_ci_low,absolute_ci_high,relative_reduction_mean,relative_ci_low,relative_ci_high,seed_absolute_ci_low,seed_absolute_ci_high,seed_relative_ci_low,seed_relative_ci_high
quadratic_chain,isotropic,precision_orthogonal,30,32,32,10000,20260714,paired_hierarchical_seed_draw,initial_box_feasible_full_hessian,noise_realized_full_hessian_cost,0.0011660380492895103,0.00047057975921027597,0.0006954582900792339,0.0006487045919946478,0.0007369941834193987,0.5964709189678247,0.5778657468577073,0.6114969887881585,0.0006563760074921718,0.0007314812337416457,0.5848568184037052,0.6077412800742733
quadratic_chain,orthogonal,precision_orthogonal,30,32,32,10000,20260715,paired_hierarchical_seed_draw,initial_box_feasible_full_hessian,noise_realized_full_hessian_cost,0.001064615818891125,0.00047057975921027597,0.0005940360596808486,0.0005497048238442583,0.0006361977960169782,0.5567142457352496,0.5388171329684097,0.5717986671323784,0.0005536516839755709,0.0006324577550068085,0.5452705227703867,0.5680029122287545
mixed_gate_chain,isotropic,precision_orthogonal,30,32,32,10000,20260724,paired_hierarchical_seed_draw,initial_box_feasible_full_hessian,noise_realized_full_hessian_cost,0.0011660380492895103,0.0004705386166910675,0.0006954994325984425,0.0006504723961974582,0.0007377224440290693,0.5965346547454857,0.5777919171537216,0.6121310866488036,0.0006554464845758125,0.0007315977830064928,0.5848306458098576,0.6079916809834418
mixed_gate_chain,orthogonal,precision_orthogonal,30,32,32,10000,20260725,paired_hierarchical_seed_draw,initial_box_feasible_full_hessian,noise_realized_full_hessian_cost,0.001064622077612568,0.0004705386166910675,0.0005940834609215003,0.0005507365625153666,0.0006374520760509424,0.5568048612772927,0.539357490973348,0.5718610625993213,0.0005550751705019696,0.0006324099954356807,0.5458402259265581,0.5681480565820329
quadratic_star,isotropic,precision_orthogonal,30,32,32,10000,20260734,paired_hierarchical_seed_draw,initial_box_feasible_full_hessian,noise_realized_full_hessian_cost,0.0014170878270535188,0.0003103402499709508,0.0011067475770825679,0.001041087820240091,0.001169754995890924,0.7789151137066631,0.7632248051453016,0.7920310351386728,0.0010497864169232076,0.0011589095856777822,0.7658267164216409,0.7914450207480644
quadratic_star,orthogonal,precision_orthogonal,30,32,32,10000,20260735,paired_hierarchical_seed_draw,initial_box_feasible_full_hessian,noise_realized_full_hessian_cost,0.0012194221853172942,0.0003103402499709508,0.0009090819353463432,0.0008480372221116944,0.000964940394433244,0.7426922532240335,0.725400042921262,0.7566414670981155,0.0008550243950185044,0.0009578159511173752,0.7284051025139556,0.7561577468650367
quadratic_dense,isotropic,precision_orthogonal,30,32,32,10000,20260744,paired_hierarchical_seed_draw,initial_box_feasible_full_hessian,noise_realized_full_hessian_cost,0.001263898579627658,0.0005471044169542999,0.0007167941626733583,0.000656490836948906,0.0007785228339622525,0.565539579584226,0.5375870500405917,0.5895863387464787,0.0006665526620333148,0.0007659733365518494,0.5436865241180342,0.5880764359022396
quadratic_dense,orthogonal,precision_orthogonal,30,32,32,10000,20260745,paired_hierarchical_seed_draw,initial_box_feasible_full_hessian,noise_realized_full_hessian_cost,0.0010674783238508166,0.0005471044169542999,0.0005203739068965166,0.0004517808063746758,0.0005902864410248567,0.4770470252161889,0.4417993545315242,0.5081892877748246,0.0004576931190865782,0.00058446227667961,0.44547258482150714,0.5075655816789325
ill_conditioned_ring,isotropic,precision_orthogonal,30,32,32,10000,20260754,paired_hierarchical_seed_draw,initial_box_feasible_full_hessian,noise_realized_full_hessian_cost,0.001496707779277328,0.00023948703006345813,0.0012572207492138694,0.0011820522561851606,0.0013233141008374201,0.8376848153844728,0.8238808589569455,0.8468493288446204,0.0011915172048700148,0.0013124689248486439,0.8261075501169003,0.8467366418779035
ill_conditioned_ring,orthogonal,precision_orthogonal,30,32,32,10000,20260755,paired_hierarchical_seed_draw,initial_box_feasible_full_hessian,noise_realized_full_hessian_cost,0.0013548308031208006,0.00023948703006345813,0.001115343773057342,0.0010470868754914884,0.0011788125248861881,0.8209815903547689,0.8076393991355207,0.8306498376655183,0.001054512069243517,0.0011692297113922955,0.8101424743011597,0.8303510721968487
